Computer Name,Software Name,Software Version,Software Installed Date
40-0249,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0249,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
40-0250,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0250,Trend Micro OfficeScan Agent,14.0.9390,"Oct 17, 2019"
40-0251,Trend Micro Apex One Security Agent,14.0.9390,"Jul 28, 2020"
40-0252,Trend Micro Apex One Security Agent,14.0.9324,"Feb 23, 2021"
40-0252,Trend Micro OfficeScan Agent,14.0.9324,"Nov 19, 2019"
40-0253,Trend Micro OfficeScan Agent,14.0.6526,"Oct 26, 2018"
40-0253,Trend Micro Apex One Security Agent,14.0.6526,"Feb 4, 2020"
40-0254,Trend Micro Apex One Security Agent,14.0.9390,"Dec 21, 2020"
40-0255,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0255,Trend Micro OfficeScan Agent,14.0.9390,"Nov 1, 2018"
40-0257,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0257,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0258,Trend Micro OfficeScan Agent,12.0.5431,"Jan 30, 2019"
40-0259,Trend Micro Apex One Security Agent,14.0.9390,"May 7, 2020"
40-0260,Trend Micro Apex One Security Agent,14.0.9390,"Jun 4, 2020"
40-0260,Trend Micro OfficeScan Agent,14.0.9390,"Jul 9, 2019"
40-0261,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0261,Trend Micro OfficeScan Agent,14.0.9390,"Oct 16, 2019"
40-0262,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0262,Trend Micro OfficeScan Agent,14.0.9390,"Feb 6, 2019"
40-0263,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0263,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0264,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0264,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0265,Trend Micro OfficeScan Agent,12.0.5383,"Jul 10, 2019"
40-0266,Trend Micro Apex One Security Agent,14.0.9390,"Jan 28, 2020"
40-0266,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
40-0267,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0267,Trend Micro OfficeScan Agent,14.0.9390,"Feb 11, 2019"
40-0269,Trend Micro Apex One Security Agent,14.0.9390,"Feb 15, 2021"
40-0270,Trend Micro OfficeScan Agent,12.0.5383,"Jul 15, 2019"
40-0271,Trend Micro Apex One Security Agent,14.0.9390,"Jul 28, 2020"
40-0272,Trend Micro Apex One Security Agent,14.0.9390,"Aug 6, 2020"
40-0273,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0273,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0274,Trend Micro Apex One Security Agent,14.0.9390,"Jun 22, 2020"
40-0275,Trend Micro OfficeScan Agent,12.0.5383,"Jul 16, 2019"
40-0276,Trend Micro Apex One Security Agent,14.0.9233,"Dec 9, 2020"
40-0276,Trend Micro Security Agent,14.0.9233,"Mar 13, 2020"
40-0276,Trend Micro OfficeScan Agent,14.0.9233,"Oct 15, 2019"
40-0278,Trend Micro Apex One Security Agent,14.0.9390,"Feb 13, 2020"
40-0278,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0279,Trend Micro OfficeScan Agent,12.0.5294,"Apr 26, 2019"
40-0280,Trend Micro OfficeScan Agent,12.0.5294,"Jun 20, 2019"
40-0281,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0281,Trend Micro OfficeScan Agent,14.0.9390,"Oct 7, 2019"
40-0282,Trend Micro Apex One Security Agent,14.0.9324,"Feb 18, 2021"
40-0282,Trend Micro OfficeScan Agent,14.0.9324,"Oct 31, 2019"
40-0282,Trend Micro Security Agent,14.0.9324,"Mar 13, 2020"
40-0283,Trend Micro Apex One Security Agent,14.0.9390,"Jul 28, 2020"
40-0284,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0284,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0285,Trend Micro Apex One Security Agent,14.0.9390,"Feb 2, 2020"
40-0285,Trend Micro OfficeScan Agent,14.0.9390,"Oct 17, 2019"
40-0286,Trend Micro Apex One Security Agent,14.0.9390,"May 19, 2020"
40-0286,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0287,Trend Micro Apex One Security Agent,14.0.9390,"Jan 29, 2020"
40-0287,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0288,Trend Micro Apex One Security Agent,14.0.9043,"Oct 28, 2020"
40-0288,Trend Micro OfficeScan Agent,14.0.9043,"Sep 23, 2019"
40-0288,Trend Micro Security Agent,14.0.9043,"Feb 12, 2020"
40-0289,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0289,Trend Micro OfficeScan Agent,14.0.9390,"Nov 13, 2019"
40-0290,Trend Micro Apex One Security Agent,14.0.9390,"Jul 28, 2020"
40-0291,Trend Micro Apex One Security Agent,14.0.9390,"Oct 7, 2020"
40-0292,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0292,Trend Micro OfficeScan Agent,14.0.9390,"Oct 8, 2019"
40-0293,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0293,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0294,Trend Micro Apex One Security Agent,14.0.9390,"Mar 30, 2021"
40-0294,Trend Micro OfficeScan Agent,14.0.9390,"Oct 10, 2019"
40-0295,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0295,Trend Micro OfficeScan Agent,14.0.9390,"Oct 2, 2019"
40-0296,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0296,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0297,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0297,Trend Micro OfficeScan Agent,14.0.9390,"Oct 2, 2019"
40-0298,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0298,Trend Micro OfficeScan Agent,14.0.9390,"Sep 20, 2019"
40-0299,Trend Micro Apex One Security Agent,14.0.9390,"Feb 25, 2020"
40-0299,Trend Micro OfficeScan Agent,14.0.9390,"Sep 24, 2019"
40-0300,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0300,Trend Micro OfficeScan Agent,14.0.9390,"Sep 30, 2019"
40-0301,Trend Micro Apex One Security Agent,14.0.9390,"Jan 29, 2020"
40-0301,Trend Micro OfficeScan Agent,14.0.9390,"Oct 22, 2019"
40-0302,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0302,Trend Micro OfficeScan Agent,14.0.9390,"Oct 28, 2019"
40-0303,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0303,Trend Micro OfficeScan Agent,14.0.9390,"Oct 31, 2019"
40-0304,Trend Micro Apex One Security Agent,14.0.9324,"Jan 29, 2021"
40-0304,Trend Micro OfficeScan Agent,14.0.9324,"Nov 6, 2019"
40-0305,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0305,Trend Micro OfficeScan Agent,14.0.9390,"Nov 13, 2019"
40-0306,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0306,Trend Micro OfficeScan Agent,14.0.9390,"Nov 28, 2019"
40-0307,Trend Micro Apex One Security Agent,14.0.7867,"May 27, 2020"
40-0307,Trend Micro OfficeScan Agent,14.0.7867,"Dec 18, 2019"
40-0308,Trend Micro Apex One Security Agent,14.0.9324,"Feb 3, 2021"
40-0308,Trend Micro OfficeScan Agent,14.0.9324,"Dec 29, 2019"
40-0308,Trend Micro Security Agent,14.0.9324,"Feb 10, 2020"
40-0309,Trend Micro Apex One Security Agent,14.0.6850,"Mar 17, 2020"
40-0309,Trend Micro OfficeScan Agent,14.0.6850,"Dec 22, 2019"
40-0310,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0310,Trend Micro OfficeScan Agent,14.0.9390,"Dec 18, 2019"
40-0311,Trend Micro Apex One Security Agent,14.0.9324,"Feb 16, 2021"
40-0311,Trend Micro OfficeScan Agent,14.0.9324,"Dec 27, 2019"
40-0311,Trend Micro Security Agent,14.0.9324,"Jan 28, 2020"
40-0312,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0312,Trend Micro OfficeScan Agent,14.0.9390,"Jan 1, 2020"
40-0313,Trend Micro Apex One Security Agent,14.0.9390,"Feb 2, 2020"
40-0313,Trend Micro OfficeScan Agent,14.0.9390,"Jan 1, 2020"
40-0314,Trend Micro OfficeScan Agent,12.0.5431,"Jan 5, 2020"
40-0315,Trend Micro Apex One Security Agent,14.0.9324,"Feb 1, 2021"
40-0315,Trend Micro OfficeScan Agent,14.0.9324,"Jan 6, 2020"
40-0316,Trend Micro Apex One Security Agent,14.0.9390,"Apr 1, 2021"
40-0316,Trend Micro OfficeScan Agent,14.0.9390,"Jan 10, 2020"
40-0318,Trend Micro Apex One Security Agent,14.0.9390,"Feb 3, 2020"
40-0318,Trend Micro OfficeScan Agent,14.0.9390,"Jan 14, 2020"
40-0319,Trend Micro Apex One Security Agent,14.0.9390,"Jan 29, 2020"
40-0319,Trend Micro OfficeScan Agent,14.0.9390,"Jan 16, 2020"
40-0320,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0320,Trend Micro OfficeScan Agent,14.0.9390,"Jan 22, 2020"
40-0321,Trend Micro Apex One Security Agent,14.0.9324,"Feb 1, 2021"
40-0321,Trend Micro Security Agent,14.0.9324,"Jan 22, 2020"
40-0322,Trend Micro Apex One Security Agent,14.0.9390,"Nov 3, 2020"
40-0323,Trend Micro Apex One Security Agent,14.0.7313,"Mar 27, 2020"
40-0323,Trend Micro Security Agent,14.0.7313,"Jan 29, 2020"
40-0324,Trend Micro Apex One Security Agent,14.0.9390,"Jan 29, 2020"
40-0325,Trend Micro Apex One Security Agent,14.0.9390,"Jan 30, 2020"
40-0326,Trend Micro Apex One Security Agent,14.0.9390,"Feb 6, 2020"
40-0327,Trend Micro Apex One Security Agent,14.0.6850,"Feb 25, 2020"
40-0327,Trend Micro Security Agent,14.0.6850,"Feb 10, 2020"
40-0328,Trend Micro Apex One Security Agent,14.0.9390,"Mar 1, 2020"
40-0329,Trend Micro Apex One Security Agent,14.0.9324,"Feb 1, 2021"
40-0329,Trend Micro Security Agent,14.0.9324,"Mar 30, 2020"
40-0330,Trend Micro Apex One Security Agent,14.0.9390,"May 4, 2020"
40-0331,Trend Micro Apex One Security Agent,14.0.9390,"Jun 3, 2020"
40-0332,Trend Micro Apex One Security Agent,14.0.9390,"May 20, 2020"
40-0333,Trend Micro Apex One Security Agent,14.0.9390,"Aug 18, 2020"
40-0334,Trend Micro Apex One Security Agent,14.0.9390,"Aug 18, 2020"
40-0335,Trend Micro Apex One Security Agent,14.0.9390,"Oct 2, 2020"
40-0336,Trend Micro Apex One Security Agent,14.0.9390,"Oct 19, 2020"
40-0337,Trend Micro Apex One Security Agent,14.0.9390,"Nov 4, 2020"
40-0338,Trend Micro Apex One Security Agent,14.0.9390,"Oct 30, 2020"
40-0339,Trend Micro Apex One Security Agent,14.0.9390,"Mar 2, 2021"
40-0340,Trend Micro Apex One Security Agent,14.0.9390,"Nov 12, 2020"
40-0341,Trend Micro Apex One Security Agent,14.0.9390,"Nov 4, 2020"
40-0342,Trend Micro Apex One Security Agent,14.0.9390,"Nov 9, 2020"
40-0343,Trend Micro Apex One Security Agent,14.0.9390,"Nov 11, 2020"
40-0344,Trend Micro Apex One Security Agent,14.0.9390,"Nov 24, 2020"
40-0345,Trend Micro Apex One Security Agent,14.0.9324,"Dec 22, 2020"
40-0346,Trend Micro Apex One Security Agent,14.0.9390,"Dec 22, 2020"
40-0347,Trend Micro Apex One Security Agent,14.0.9390,"Dec 22, 2020"
40-0348,Trend Micro Apex One Security Agent,14.0.9390,"Feb 7, 2021"
40-0349,Trend Micro Apex One Security Agent,14.0.9390,"Feb 3, 2021"
40-0350,Trend Micro Apex One Security Agent,14.0.9390,"Feb 9, 2021"
40-0351,Trend Micro Apex One Security Agent,14.0.9324,"Feb 16, 2021"
46-0001,Trend Micro OfficeScan Agent,12.0.5431,"Jan 24, 2017"
46-0025,Trend Micro Apex One Security Agent,14.0.8755,"Aug 31, 2020"
46-0025,Trend Micro OfficeScan Agent,14.0.8755,"Mar 8, 2017"
46-0042,Trend Micro Apex One Security Agent,14.0.7867,"May 27, 2020"
46-0042,Trend Micro OfficeScan Agent,14.0.7867,"Feb 13, 2017"
46-0112,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0112,Trend Micro OfficeScan Agent,14.0.9390,"Feb 12, 2017"
46-0115,Trend Micro OfficeScan Agent,14.0.9233,"Apr 25, 2017"
46-0115,Trend Micro Apex One Security Agent,14.0.9233,"Dec 9, 2020"
46-0126,Trend Micro Apex One Security Agent,14.0.9390,"Jan 23, 2020"
46-0128,Trend Micro OfficeScan Agent,12.0.5383,"Jan 25, 2017"
46-0130,Trend Micro Apex One Security Agent,14.0.9390,"Apr 6, 2021"
46-0130,Trend Micro OfficeScan Agent,14.0.9390,"Dec 11, 2016"
46-0133,Trend Micro OfficeScan Agent,14.0.6850,"Mar 8, 2017"
46-0133,Trend Micro Apex One Security Agent,14.0.6850,"Feb 26, 2020"
46-0136,Trend Micro Apex One Security Agent,14.0.9390,"Feb 23, 2020"
46-0136,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
46-0137,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0137,Trend Micro OfficeScan Agent,14.0.9390,"Jan 1, 2020"
46-0139,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0139,Trend Micro OfficeScan Agent,14.0.9390,"Mar 6, 2017"
46-0140,Trend Micro OfficeScan Agent,12.0.1222,"Jan 3, 2017"
46-0141,Trend Micro OfficeScan Agent,12.0.5400,"Sep 17, 2019"
46-0142,Trend Micro Apex One Security Agent,14.0.6850,"Feb 26, 2020"
46-0142,Trend Micro OfficeScan Agent,14.0.6850,"Dec 13, 2019"
46-0143,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0143,Trend Micro OfficeScan Agent,14.0.9390,"Feb 15, 2017"
46-0144,Trend Micro Apex One Security Agent,14.0.9390,"Jul 9, 2020"
46-0144,Trend Micro OfficeScan Agent,14.0.9390,"Sep 26, 2019"
46-0145,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0145,Trend Micro OfficeScan Agent,14.0.9390,"Jan 31, 2017"
46-0158,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
46-0158,Trend Micro OfficeScan Agent,14.0.9390,"Mar 28, 2017"
46-0159,Trend Micro Apex One Security Agent,14.0.9390,"Feb 23, 2020"
46-0160,Trend Micro Apex One Security Agent,14.0.9390,"Jun 4, 2020"
46-0160,Trend Micro OfficeScan Agent,14.0.9390,"Feb 11, 2019"
46-0161,Trend Micro Apex One Security Agent,14.0.9390,"Apr 28, 2020"
46-0161,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
46-0172,Trend Micro Apex One Security Agent,14.0.9390,"May 5, 2020"
46-0173,Trend Micro Apex One Security Agent,14.0.9390,"Feb 13, 2020"
46-0173,Trend Micro OfficeScan Agent,14.0.9390,"Sep 26, 2019"
46-0176,Trend Micro Apex One Security Agent,14.0.9043,"Oct 29, 2020"
46-0176,Trend Micro Security Agent,14.0.9043,"Oct 29, 2020"
46-0176,Trend Micro OfficeScan Agent,14.0.9043,"Sep 24, 2019"
46-0177,Trend Micro OfficeScan Agent,12.0.5383,"Aug 16, 2019"
46-0178,Trend Micro OfficeScan Agent,12.0.5383,"Aug 16, 2019"
46-0179,Trend Micro Apex One Security Agent,14.0.9390,"Feb 2, 2020"
46-0179,Trend Micro OfficeScan Agent,14.0.9390,"Jan 14, 2020"
46-0180,Trend Micro Apex One Security Agent,14.0.8755,"Aug 26, 2020"
46-0180,Trend Micro Security Agent,14.0.8755,"Mar 4, 2020"
46-0180,Trend Micro OfficeScan Agent,14.0.8755,"Nov 17, 2019"
46-0181,Trend Micro Apex One Security Agent,14.0.9390,"Jul 30, 2020"
46-0181,Trend Micro OfficeScan Agent,14.0.9390,"Jul 17, 2019"
46-0182,Trend Micro Apex One Security Agent,14.0.9390,"Jan 28, 2020"
46-0182,Trend Micro OfficeScan Agent,14.0.9390,"Oct 5, 2019"
46-0184,Trend Micro Apex One Security Agent,14.0.9324,"Feb 15, 2021"
46-0184,Trend Micro OfficeScan Agent,14.0.9324,"Oct 17, 2019"
46-0184,Trend Micro Security Agent,14.0.9324,"Mar 12, 2020"
46-0185,Trend Micro Apex One Security Agent,14.0.9324,"Feb 3, 2021"
46-0185,Trend Micro Security Agent,14.0.9324,"Mar 12, 2020"
46-0185,Trend Micro OfficeScan Agent,14.0.9324,"Jan 19, 2020"
46-0186,Trend Micro Apex One Security Agent,14.0.9390,"Jan 31, 2020"
46-0186,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
46-0188,Trend Micro Apex One Security Agent,14.0.9390,"Apr 3, 2020"
46-0188,Trend Micro OfficeScan Agent,14.0.9390,"Oct 9, 2019"
46-0189,Trend Micro Apex One Security Agent,14.0.9390,"Mar 11, 2021"
46-0189,Trend Micro OfficeScan Agent,14.0.9390,"Aug 2, 2019"
46-0191,Trend Micro Apex One Security Agent,14.0.9043,"Nov 10, 2020"
46-0191,Trend Micro Security Agent,14.0.9043,"Feb 13, 2020"
46-0191,Trend Micro OfficeScan Agent,14.0.9043,"Oct 1, 2019"
46-0192,Trend Micro Apex One Security Agent,14.0.9233,"Dec 9, 2020"
46-0192,Trend Micro Security Agent,14.0.9233,"Mar 9, 2020"
46-0192,Trend Micro OfficeScan Agent,14.0.9233,"Oct 17, 2019"
46-0193,Trend Micro Apex One Security Agent,14.0.9324,"Jan 27, 2021"
46-0193,Trend Micro OfficeScan Agent,14.0.9324,"Sep 30, 2019"
46-0193,Trend Micro Security Agent,14.0.9324,"Feb 18, 2020"
46-0194,Trend Micro Apex One Security Agent,14.0.9324,"Mar 1, 2021"
46-0194,Trend Micro OfficeScan Agent,14.0.9324,"Sep 24, 2019"
46-0194,Trend Micro Security Agent,14.0.9324,"Feb 3, 2020"
